"y","x","g"
1,-1.00311664723701,"1"
1,-0.00178783263765781,"1"
1,0.171692828859556,"1"
1,0.71239786391402,"1"
1,1.11234598993459,"1"
0,1.15328327462155,"1"
1,3.07556181619664,"1"
0,-1.16577105908857,"1"
1,0.212715757303534,"2"
0,-0.538904524467039,"2"
1,2.02767767127841,"2"
0,0.867546288925938,"2"
1,-1.35013308033895,"2"
1,-1.15233009254892,"2"
0,0.0514810857707589,"2"
1,-1.48114485347662,"2"
1,0.674591590946259,"3"
1,-0.592423741412972,"3"
0,0.197688974443911,"3"
0,-0.59628617098192,"3"
1,1.24680432996966,"3"
1,-1.63008769303193,"3"
0,-1.3657812109273,"3"
0,-1.94269042892059,"3"
1,0.82994847536466,"4"
1,-0.228989173388685,"4"
1,-0.884324785247212,"4"
1,0.368516571351881,"4"
1,-0.102509094847362,"4"
1,-0.671986456916472,"4"
1,1.18702997956711,"4"
1,-0.456187689250072,"4"
0,-1.41420329854376,"5"
0,1.59120206257707,"5"
0,1.09163732573003,"5"
0,-1.26193088531657,"5"
0,0.266670987873612,"5"
1,-0.424110789052418,"5"
1,-0.209020770929852,"5"
1,-0.728067456649219,"5"
0,0.877526604181528,"6"
0,-1.30686694195538,"6"
0,1.02886365070205,"6"
1,-0.652146269831184,"6"
0,-0.23638490821812,"6"
1,-0.544679767073713,"6"
0,0.369614055328253,"6"
0,0.0322410110146127,"6"
1,-0.094126643416368,"7"
1,-0.0971700275720235,"7"
1,1.12530391897125,"7"
0,0.367844216188165,"7"
1,1.57608283366948,"7"
0,-0.453154573932473,"7"
1,-0.792164019933418,"7"
1,-0.540389773808992,"7"
1,2.15697103724752,"8"
0,-1.51232267681305,"8"
1,0.684431249346921,"8"
1,1.43556806212337,"8"
1,1.49156419112997,"8"
0,-0.92361886800834,"8"
1,0.27716643959694,"8"
0,0.162971881310649,"8"
1,0.319795058595789,"9"
0,-0.0413110233463238,"9"
1,0.14531614547661,"9"
1,0.375537657565024,"9"
1,-0.734321915536206,"9"
1,0.270041418578439,"9"
1,0.933363758556776,"9"
0,0.78059709552731,"9"
1,0.732240877960359,"10"
1,1.12461417562511,"10"
1,-0.605427322589788,"10"
1,1.43564456172452,"10"
