"cluster","x","grp","y"
"1",0.902944132669832,"a",6.51862403557747
"1",-0.550786341975954,"b",3.92863169074056
"1",-0.677120334935248,"b",3.70385311556476
"1",-0.28828680722969,"b",5.72698365362802
"1",-0.54456484090328,"a",2.83867405095798
"1",-1.0288844582985,"a",1.41649258149601
"1",1.03852596526656,"b",25.774359635486
"1",-0.642661267409314,"a",2.22338344233505
"1",-0.772266497656891,"b",2.3129363771775
"1",-0.411601478886237,"b",13.3027521062516
"1",-0.723049168398391,"a",5.60769193535598
"1",0.362452095493006,"a",5.52693691008834
"2",-0.234951585966736,"b",0.369501999826184
"2",-0.899819908024396,"b",1.16008784758587
"2",-1.3135499317869,"a",0.651849721429333
"2",1.03213429657112,"a",4.05186423361988
"2",2.10825588110722,"a",19.3046098338838
"2",-1.38463422087123,"b",0.878211076315957
"2",1.49137770159704,"a",5.95892688463449
"2",0.0170899148735712,"b",1.38356094732453
"2",0.157923277640533,"b",1.82493945584885
"2",-1.63601544993785,"a",0.925824749690565
"2",0.0228751186514433,"a",1.72229784370049
"2",-0.314592665095191,"b",3.90275426771181
"3",0.987848529455189,"b",1.09112356641631
"3",0.0446554743104778,"a",4.028298548641
"3",0.0451957901985605,"b",0.771380870775706
"3",-0.302800836309251,"b",0.248752926098439
"3",0.218259959101494,"b",4.27905161342108
"3",1.71109035198241,"b",11.6539203007308
"3",-0.2039275374331,"b",0.531642000011261
"3",-1.32321410155246,"b",1.36109953116842
"3",-0.78701666660724,"a",0.0648136355921184
"3",-0.172796480319039,"b",7.10470252215973
"3",0.90799639790466,"b",9.88106848706226
"3",0.352629195901636,"b",1.8990376659498
"4",0.974621980928353,"b",6.90199593017857
"4",0.424984913305596,"b",1.53257718865932
"4",0.586843427700992,"b",6.94126714146609
"4",-1.55445230626851,"a",0.572490518675786
"4",-0.8618350815107,"b",3.66891434384846
"4",0.129068981598153,"a",2.14745168592626
"4",-0.416966006333124,"b",1.2750918708487
"4",-0.752766329777366,"a",1.78206756609205
"4",1.63739884229253,"a",2.73550620057448
"4",1.2350919400775,"b",5.82273710449358
